,linear,,,rbf,,,,,,
,c=0.5,c=1,c=5,c=0.5,c=1,c=5,,,,
1,41.809,41.839,41.8864,42.4483,42.4858,42.5107,,,,
12,43.4772,43.4772,43.4747,43.5821,43.7544,44.0041,,,,
123,43.3698,43.3648,43.3648,45.1304,45.4076,45.9769,,,,
1234,43.7044,43.7069,43.7144,44.9081,45.2277,46.0169,,,,
12345,43.7019,43.7144,43.7494,44.8107,45.013,45.8546,,,,
123456,43.5896,43.612,43.627,44.7283,44.9531,45.7172,,,,
12346,43.5521,43.5646,43.5995,44.8307,45.0504,45.8945,,,,
1235,43.3423,43.3573,43.3423,44.8731,45.1803,45.9919,,,,
12356,43.3273,43.3198,43.3223,44.7907,44.988,45.7996,,,,
1236,43.3298,43.3049,43.3149,44.9081,45.1928,45.9969,,,,
124,43.5196,43.5371,43.5396,43.5846,43.622,43.9891,,,,
1245,43.5371,43.5696,43.5995,43.3648,43.632,44.0291,,,,
12456,43.5321,43.5771,43.597,43.2075,43.4522,43.9017,,,,
1246,43.5121,43.5396,43.5496,43.3548,43.6195,44.0166,,,,
125,43.4422,43.4372,43.4322,43.5396,43.5821,43.9816,,,,
1256,43.4172,43.4197,43.4073,43.2899,43.5421,43.9292,,,,
126,43.3823,43.3798,43.3698,43.5321,43.5646,43.9641,,,,
13,41.2072,41.1997,41.1972,44.5785,44.6983,44.7982,,,,
134,41.3545,41.3595,41.3595,44.4136,44.7732,45.0579,,,,
1345,41.372,41.362,41.3945,44.3237,44.4786,45.2128,,,,
13456,41.3695,41.3645,41.4394,44.0915,44.3862,45.2203,,,,
1346,41.362,41.3745,41.4394,44.3063,44.521,45.2277,,,,
135,41.2022,41.2022,41.2072,44.3312,44.6709,45.0629,,,,
1356,41.2197,41.2222,41.2247,44.2738,44.4186,45.1578,,,,
136,41.2371,41.2296,41.2272,44.3512,44.6759,45.0305,,,,
14,41.794,41.8315,41.8265,42.0088,42.1911,42.5357,,,,
145,41.8115,41.8565,41.9164,41.8914,42.0987,42.6031,,,,
1456,41.804,41.8714,41.9588,41.5418,41.9838,42.3384,,,,
146,41.8115,41.8565,41.9339,41.9039,42.0762,42.5632,,,,
15,41.6717,41.7166,41.7416,41.9888,42.1986,42.5682,,,,
156,41.6667,41.6991,41.7166,41.854,42.0013,42.5282,,,,
16,41.6966,41.7341,41.774,41.9813,42.1861,42.5432,,,,
2,35.5933,35.5933,35.5933,37.771,37.746,37.7635,,,,
23,39.9486,39.9511,39.9511,42.0063,42.4933,42.7954,,,,
234,40.0584,40.0559,40.0734,41.849,42.0612,42.8554,,,,
2345,40.1633,40.1733,40.1933,41.8465,42.1386,42.9003,,,,
23456,40.1633,40.1908,40.2158,41.799,42.0612,43.0551,,,,
2346,40.1084,40.1483,40.1433,41.8615,42.2186,43.0427,,,,
235,39.976,39.9735,39.9785,41.9164,42.3634,42.9078,,,,
2356,39.9311,39.9311,39.9186,41.8789,42.286,43.0002,,,,
236,39.8836,39.8936,39.8861,41.9838,42.5382,43.0327,,,,
24,35.7357,35.7407,35.7457,37.9557,37.9682,38.0881,,,,
245,35.903,35.9629,36.0254,38.0806,38.1905,38.3054,,,,
2456,35.9355,35.9679,35.9979,37.9982,38.1955,38.3728,,,,
246,35.8006,35.8256,35.868,38.0581,38.1705,38.2679,,,,
25,35.6558,35.6533,35.6583,37.8384,37.8658,37.8733,,,,
256,35.6533,35.6583,35.6633,37.8584,37.8509,37.9857,,,,
26,35.6458,35.6433,35.6408,37.8309,37.8159,37.9483,,,,
3,38.9596,38.9596,38.9646,38.9522,38.9646,39.1444,,,,
34,39.2219,39.2343,39.2618,39.2094,39.2518,39.1394,,,,
345,39.2019,39.2119,39.2643,39.0545,39.1594,39.3068,,,,
3456,39.1994,39.2368,39.2768,39.2343,39.0495,39.3542,,,,
346,39.1944,39.2543,39.3018,39.102,39.2219,39.3892,,,,
35,38.9571,38.9571,38.9596,39.1569,39.1919,38.9946,,,,
356,38.9746,38.9696,38.9621,39.0246,39.067,39.2868,,,,
36,38.9921,38.9946,38.9996,39.1794,39.2269,39.127,,,,
4,31.0533,31.0533,31.0533,31.0533,31.0533,31.0533,,,,
45,31.2207,31.2481,31.2856,31.2057,31.2207,31.2306,,,,
456,31.2931,31.3031,31.3156,31.2581,31.2731,31.2931,,,,
46,31.2032,31.1982,31.2032,31.2057,31.2007,31.2057,,,,
5,31.0533,31.0533,31.0533,31.1732,31.1757,31.1832,,,,
56,31.0533,31.0558,31.0783,31.2007,31.2232,31.2381,,,,
6,31.0533,31.0558,31.0608,31.1582,31.1557,31.1582,,,,